controlled.cancer.type,condition.synonyms
Bladder,Tumor of the Urinary Bladder
Renal,Kidney Neoplasm
Renal,Renal cell carcinoma
Renal,kidney cancer
Renal,renal cell cancer
Renal,kidney tumor
Renal,Renal carcinoma
Renal,renal tumors
Renal,Tumors of the kidney
Renal,Renal Neoplasm
Renal,kidney carcinoma
Renal,cancer of kidney
Renal,Renal adenocarcinoma
Renal,cancer of the kidney
Renal,Renal malignant tumor
Renal,Hypernephroma
Renal,Adenocarcinoma of Kidney
Renal,carcinoma renal
Renal,Grawitz tumor
Renal,kidney adenocarcinoma
Renal,Nephroid Carcinoma
Renal,"Renal Cell Adenocarcinoma	"
Renal,Tumor of kidney
Prostate,prostate cancer
Prostate,Prostatic Neoplasm
Prostate,prostate carcinoma
Prostate,Prostate Neoplasms
Prostate,prostatic cancer
Prostate,cancer of the prostate
Prostate,Cancer of prostate
Prostate,Carcinoma of the Prostate
Prostate,prostate tumors
Prostate,prostatic carcinoma
Prostate,Neoplasm of prostate
Prostate,carcinoma prostate
Prostate,CARCINOMA OF PROSTATE
Prostate,Prostate neoplasia
Prostate,neoplasm of the prostate
Prostate,Tumor of the Prostate
Prostate,neoplasia prostate
Prostate,Tumor of prostate
Testis,malignant testicular germ cell tumor
Testis,Testicular Neoplasm
Testis,testicular cancer
Testis,testis cancer
Testis,cancer testis
Testis,Testicular germ cell cancer
Testis,Testicular tumor
Testis,testicle cancer
Testis,Cancer of Testis
Testis,testis tumors
Testis,Tumor of testis
Testis,Tumor of the Testis
Ovarian,ovarian cancer
Ovarian,Ovarian Neoplasm
Ovarian,Ovarian epithelial cancer
Ovarian,Ovarian carcinoma
Ovarian,Ovarian tumor
Ovarian,ovary cancer
Ovarian,cancer of the ovary
Ovarian,Carcinoma of the Ovary
Ovarian,Cancer of ovary
Ovarian,ovary neoplasm
Ovarian,Tumor of ovary
Ovarian,Tumor of the Ovary
Ovarian,Ovarian epithelial carcinoma
Ovarian,Neoplasm of ovary
Ovarian,carcinoma of ovary
Ovarian,cancer ovaries
Ovarian,carcinoma ovaries
Ovarian,cancer ovarian
Ovarian,ovary carcinoma
Endometrial,ENDOMETRIAL CARCINOMA
Endometrial,endometrium cancer
Endometrial,cancer of the endometrium
Endometrial,cancer of endometrium
Endometrial,carcinoma of the endometrium
Endometrial,CARCINOMA OF ENDOMETRIUM
Endometrial,endometrium carcinoma
Cervical,cervical cancer
Cervical,Cervical Neoplasm
Cervical,cervical carcinoma
Cervical,Cervix Cancer
Cervical,Carcinoma of the Cervix
Cervical,Cancer of the Cervix
Cervical,Cervix Neoplasms
Cervical,cancer of cervix
Cervical,cervix carcinoma
Cervical,Carcinoma of Uterine Cervix
Cervical,Carcinoma of the Uterine Cervix
Cervical,Cancer of the uterine cervix
Cervical,CARCINOMA OF CERVIX
Cervical,Cervical tumor
Cervical,Neoplasm of Cervix
Cervical,Tumor of cervix
Cervical,cervix tumors
Cervical,Tumor of the Cervix
Cervical,carcinoma cervical
Cervical,carcinoma cervix uterine
Cervical,Cervix uteri cancer
Vaginal,vaginal cancer
Vaginal,vaginal neoplasm
Vaginal,vaginal carcinoma
Vaginal,carcinoma of the vagina
Adenoid cystic,Adenoid cystic carcinoma
Adenoid cystic,Adenocystic carcinoma
Adenoid cystic,Cylindroma
SCCHN,squamous cell carcinoma of head and neck
SCCHN,"Squamous cell carcinoma of the head and neck	"
Salivary Gland,salivary gland cancer
Salivary Gland,salivary gland carcinoma
Salivary Gland,Malignant Salivary Gland Tumor
Salivary Gland,Carcinoma of the Salivary Gland
Salivary Gland,Cancer of the Salivary Gland
Salivary Gland,Malignant neoplasm of salivary gland
Salivary Gland,Malignant salivary gland neoplasm
Melanoma,melanoma
Squamous cell,Squamous cell carcinoma
Squamous cell,Squamous carcinoma
Squamous cell,cancer squamous cell
Squamous cell,Epidermoid carcinoma
Basal cell,Basal cell carcinoma
Basal cell,Basal cell skin cancer
Basal cell,Basal Cell Epithelioma
Neuroendocrine: Lung,Neuroendocrine tumor
Neuroendocrine: Lung,Neuroendocrine neoplasm
Neuroendocrine: Lung,Neuroendocrine neoplasia
Neuroendocrine: Lung,neuroendocrine carcinoma
Neuroendocrine: Lung,Neuroendocrine Cancer
Neuroendocrine: Lung,"Pulmonary Neuroendocrine Neoplasm	"
Neuroendocrine: Lung,lung neuroendocrine neoplasm
Neuroendocrine: Lung,Neuroendocrine neoplasm of lung
Neuroendocrine: Lung,Bronchial neuroendocrine tumor
Neuroendocrine: Upper GI,Neuroendocrine tumor
Neuroendocrine: Upper GI,Neuroendocrine neoplasm
Neuroendocrine: Upper GI,Neuroendocrine neoplasia
Neuroendocrine: Upper GI,neuroendocrine carcinoma
Neuroendocrine: Upper GI,Neuroendocrine Cancer
Neuroendocrine: Upper GI,gastrointestinal neuroendocrine tumour
Neuroendocrine: Upper GI,"Gastro-enteropancreatic neuroendocrine tumor	"
Neuroendocrine: Upper GI,GEP NET
Neuroendocrine: Upper GI,Digestive System Neuroendocrine Tumor
Neuroendocrine: Upper GI,Gastroenteropancreatic NET
Neuroendocrine: Lower GI,Neuroendocrine tumor
Neuroendocrine: Lower GI,Neuroendocrine neoplasm
Neuroendocrine: Lower GI,Neuroendocrine neoplasia
Neuroendocrine: Lower GI,gastrointestinal neuroendocrine tumour
Neuroendocrine: Lower GI,"Gastro-enteropancreatic neuroendocrine tumor	"
Neuroendocrine: Lower GI,GEP NET
Neuroendocrine: Lower GI,Digestive System Neuroendocrine Tumor
Neuroendocrine: Lower GI,Gastroenteropancreatic NET
Neuroendocrine: Skin,Neuroendocrine tumor
Neuroendocrine: Skin,Neuroendocrine neoplasm
Neuroendocrine: Skin,Neuroendocrine neoplasia
Neuroendocrine: Skin,neuroendocrine carcinoma
Neuroendocrine: Skin,Neuroendocrine Cancer
Neuroendocrine: Skin,Merkel cell carcinoma
Neuroendocrine: Skin,"Carcinoma, merkel cell"
Neuroendocrine: Skin,Merkel cell cancer
Neuroendocrine: Skin,"neuroendocrine carcinoma of the skin	"
Neuroendocrine: Skin,Merkel Cell Tumor
Neuroendocrine: Skin,carcinoma neuroendocrine skin
Neuroendocrine: Skin,Neuroendocrine Skin Carcinoma
Neuroendocrine: Skin,trabecular carcinoma of the skin
Neuroendocrine: Pancreas,Neuroendocrine tumor
Neuroendocrine: Pancreas,Neuroendocrine neoplasm
Neuroendocrine: Pancreas,Neuroendocrine neoplasia
Neuroendocrine: Pancreas,neuroendocrine carcinoma
Neuroendocrine: Pancreas,Neuroendocrine Cancer
Neuroendocrine: Pancreas,Pancreatic neuroendocrine tumors
Neuroendocrine: Pancreas,Islet cell tumor
Neuroendocrine: Pancreas,Pancreatic endocrine tumor
Neuroendocrine: Pancreas,Pancreatic NET
Neuroendocrine: Pancreas,Pancreatic neuroendocrine neoplasm
Neuroendocrine: Pancreas,PanNET
Neuroendocrine: Pancreas,Islet cell adenoma
Neuroendocrine: Pancreas,Pancreatic Endocrine Neoplasm
Neuroendocrine: Pancreas,Islet cell neoplasm
Neuroendocrine: Pancreas,endocrine pancreatic tumors
Neuroendocrine: Pancreas,Neuroendocrine tumor of pancreas
Neuroendocrine: Liver,Neuroendocrine tumor
Neuroendocrine: Liver,Neuroendocrine neoplasm
Neuroendocrine: Liver,Neuroendocrine neoplasia
Neuroendocrine: Liver,neuroendocrine carcinoma
Neuroendocrine: Liver,Neuroendocrine Cancer
Neuroendocrine: Prostate,Neuroendocrine tumor
Neuroendocrine: Prostate,Neuroendocrine neoplasm
Neuroendocrine: Prostate,Neuroendocrine neoplasia
Neuroendocrine: Prostate,neuroendocrine carcinoma
Neuroendocrine: Prostate,Neuroendocrine Cancer
Neuroendocrine: Ovary,Neuroendocrine tumor
Neuroendocrine: Ovary,Neuroendocrine neoplasm
Neuroendocrine: Ovary,Neuroendocrine neoplasia
Neuroendocrine: Ovary,neuroendocrine carcinoma
Neuroendocrine: Ovary,Neuroendocrine Cancer
Neuroendocrine: Testes,Neuroendocrine tumor
Neuroendocrine: Testes,Neuroendocrine neoplasm
Neuroendocrine: Testes,Neuroendocrine neoplasia
Neuroendocrine: Testes,neuroendocrine carcinoma
Neuroendocrine: Testes,Neuroendocrine Cancer
Neuroendocrine: Renal,Neuroendocrine tumor
Neuroendocrine: Renal,Neuroendocrine neoplasm
Neuroendocrine: Renal,Neuroendocrine neoplasia
Neuroendocrine: Renal,neuroendocrine carcinoma
Neuroendocrine: Renal,Neuroendocrine Cancer
Neuroendocrine: Appendix,Neuroendocrine tumor
Neuroendocrine: Appendix,Neuroendocrine neoplasm
Neuroendocrine: Appendix,Neuroendocrine neoplasia
Neuroendocrine: Appendix,neuroendocrine carcinoma
Neuroendocrine: Appendix,Neuroendocrine Cancer
Neuroendocrine: Appendix,gastrointestinal neuroendocrine tumour
Neuroendocrine: Appendix,"Gastro-enteropancreatic neuroendocrine tumor	"
Neuroendocrine: Appendix,GEP NET
Neuroendocrine: Appendix,Digestive System Neuroendocrine Tumor
Neuroendocrine: Appendix,Gastroenteropancreatic NET
Neuroendocrine: Thymus,Neuroendocrine tumor
Neuroendocrine: Thymus,Neuroendocrine neoplasm
Neuroendocrine: Thymus,Neuroendocrine neoplasia
Neuroendocrine: Thymus,neuroendocrine carcinoma
Neuroendocrine: Thymus,Neuroendocrine Cancer
Neuroendocrine: Thymus,Thymus Neoplasm
Neuroendocrine: Thymus,Thymoma
Neuroendocrine: Thymus,Thymic Neoplasm
Neuroendocrine: Thymus,thymus tumors
Neuroendocrine: Thymus,Thymic Tumor
Neuroendocrine: Brain,Neuroendocrine tumor
Neuroendocrine: Brain,Neuroendocrine neoplasm
Neuroendocrine: Brain,Neuroendocrine neoplasia
Neuroendocrine: Brain,neuroendocrine carcinoma
Neuroendocrine: Brain,Neuroendocrine Cancer
Neuroendocrine: Pheochromocytoma,Neuroendocrine tumor
Neuroendocrine: Pheochromocytoma,Neuroendocrine neoplasm
Neuroendocrine: Pheochromocytoma,Neuroendocrine neoplasia
Neuroendocrine: Pheochromocytoma,neuroendocrine carcinoma
Neuroendocrine: Pheochromocytoma,Neuroendocrine Cancer
Neuroendocrine: Pheochromocytoma,pheochromocytoma 
Neuroendocrine: Pheochromocytoma,paraganglioma
Neuroendocrine: Pituitary,Neuroendocrine tumor
Neuroendocrine: Pituitary,Neuroendocrine neoplasia
Neuroendocrine: Pituitary,neuroendocrine carcinoma
